=== SCAN ESTENDIDO DE ISGHOST NO PAWN: 0x37CF2230 ===
Data/Hora: 2025-05-30 17:34:40
Offset atual de isGhost: 0x688

Valor atual de isGhost: False

=== ESCANEANDO POSSÍVEIS VALORES BOOLEANOS ===
Offset	Byte	Bool	Int8	Int16	Int32
------------------------------------------------------------
0x0600	0	False	0	0	0
0x0601	0	False	0	0	0
0x0602	0	False	0	0	0
0x0603	0	False	0	0	0
0x0604	0	False	0	0	0
0x0605	0	False	0	0	0
0x0606	0	False	0	0	0
0x0607	0	False	0	0	0
0x0608	0	False	0	0	0
0x0609	0	False	0	0	0
0x060A	0	False	0	0	0
0x060B	0	False	0	0	0
0x060C	0	False	0	0	0
0x060D	0	False	0	0	0
0x060E	0	False	0	0	0
0x060F	0	False	0	0	0
0x0610	0	False	0	0	0
0x0611	0	False	0	0	0
0x0612	0	False	0	0	0
0x0613	0	False	0	0	0
0x0614	0	False	0	0	0
0x0615	0	False	0	0	0
0x0616	0	False	0	0	0
0x0617	0	False	0	0	0
0x0618	0	False	0	0	0
0x0619	0	False	0	0	0
0x061A	0	False	0	0	0
0x061B	0	False	0	0	0
0x061C	0	False	0	0	0
0x061D	0	False	0	0	0
0x061E	0	False	0	0	0
0x061F	0	False	0	0	0
0x0620	0	False	0	0	0
0x0621	0	False	0	0	0
0x0622	0	False	0	0	0
0x0623	0	False	0	0	0
0x0624	0	False	0	0	0
0x0625	0	False	0	0	0
0x0626	0	False	0	0	0
0x0627	0	False	0	0	0
0x0628	0	False	0	0	0
0x0629	0	False	0	0	0
0x062A	0	False	0	0	0
0x062B	0	False	0	0	0
0x062C	0	False	0	0	0
0x062D	0	False	0	0	0
0x062E	0	False	0	0	0
0x062F	0	False	0	0	0
0x0630	0	False	0	0	0
0x0631	0	False	0	0	0
0x0632	0	False	0	0	0
0x0633	0	False	0	0	0
0x0634	0	False	0	0	0
0x0635	0	False	0	0	0
0x0636	0	False	0	0	0
0x0637	0	False	0	0	0
0x0638	0	False	0	0	0
0x0639	0	False	0	0	0
0x063A	0	False	0	0	0
0x063B	0	False	0	0	0
0x063C	0	False	0	0	0
0x063D	0	False	0	0	0
0x063E	0	False	0	0	0
0x063F	0	False	0	0	0
0x0640	0	False	0	0	0
0x0641	0	False	0	0	0
0x0642	0	False	0	0	0
0x0643	0	False	0	0	0
0x0644	0	False	0	0	0
0x0645	0	False	0	0	-402653184
0x0646	0	False	0	0	-2014838784
0x0647	0	False	0	-6144	1132980224
0x064C	1	True	1	1	1
0x064D	0	False	0	0	0
0x064E	0	False	0	0	16777216
0x064F	0	False	0	0	65536
0x0650	0	False	0	256	16777472
0x0651	1	True	1	1	65537
0x0652	0	False	0	256	256
0x0653	1	True	1	1	-2147483647
0x0654	0	False	0	0	-1082130432
0x0655	0	False	0	-32768	29327360
0x0658	1	True	1	1	1
0x0659	0	False	0	0	-33554432
0x065A	0	False	0	0	-131072
0x065B	0	False	0	-512	-512
0x0660	0	False	0	0	0
0x0661	0	False	0	0	0
0x0662	0	False	0	0	0
0x0663	0	False	0	0	0
0x0664	0	False	0	0	0
0x0665	0	False	0	0	671088640
0x0666	0	False	0	0	153616384
0x0667	0	False	0	10240	-1006032896
0x066C	0	False	0	0	-1082130432
0x066D	0	False	0	-32768	12550144
0x0670	0	False	0	0	0
0x0671	0	False	0	0	0
0x0672	0	False	0	0	0
0x0673	0	False	0	0	0
0x0674	0	False	0	0	0
0x0675	0	False	0	0	-2063597568
