Scan do Pawn: 0x16719AAB0 em 2025-05-30 16:25:40

Offset	Tipo	Valor
--------------------------------------------------
0x0000	Ptr	0x148437B70
0x0000	Float	200173.75
0x0000	Byte	112
0x0008	Int32	8
0x0008	Float	1.1210387714598537e-44
0x0008	Byte	8
0x0010	Ptr	0xAFF8F550
0x0010	Float	-4.528524222280339e-10
0x0010	Byte	80
0x0018	Int32	1880477
0x0018	Float	2.635109532298139e-39
0x0018	Byte	157
0x0020	Ptr	0x114D3A9F0
0x0020	Float	2.1372583853249585e-26
0x0020	Byte	240
0x0028	Ptr	0x147D10940
0x0028	Float	107026.5
0x0028	Byte	64
0x0030	Float	2.9020016785925223e-38
0x0030	Byte	0
0x0038	Ptr	0x11A7576C0
0x0038	Float	5.076073800494782e-23
0x0038	Byte	192
0x0040	Ptr	0x400000001
0x0040	Int32	1
0x0040	Float	1.401298464324817e-45
0x0040	Byte	1
0x0048	Ptr	0x117CD7DE0
0x0048	Float	1.3279589815181886e-24
0x0048	Byte	224
0x0050	Ptr	0x16719AAB0
0x0050	Byte	176
0x0058	Float	5.4272938140170757e-14
0x0058	Byte	112
0x0060	Int32	1
0x0060	Float	1.401298464324817e-45
0x0060	Byte	1
0x0068	Float	1.0
0x0068	Byte	0
0x0070	Int32	0
0x0070	Float	0.0
0x0070	Byte	0
0x0078	Int32	0
0x0078	Float	0.0
0x0078	Byte	0
0x0080	Int32	0
0x0080	Float	0.0
0x0080	Byte	0
0x0088	Int32	0
0x0088	Float	0.0
0x0088	Byte	0
0x0090	Int32	0
0x0090	Float	0.0
0x0090	Byte	0
0x0098	Int32	0
0x0098	Float	0.0
0x0098	Byte	0
0x00A0	Int32	0
0x00A0	Float	0.0
0x00A0	Byte	0
0x00A8	Int32	0
0x00A8	Float	0.0
0x00A8	Byte	0
0x00B0	Int32	0
0x00B0	Float	0.0
0x00B0	Byte	0
0x00B8	Int32	0
0x00B8	Float	0.0
0x00B8	Byte	0
0x00C0	Int32	0
0x00C0	Float	0.0
0x00C0	Byte	0
0x00C8	Int32	0
0x00C8	Float	0.0
0x00C8	Byte	0
0x00D0	Int32	0
0x00D0	Float	0.0
0x00D0	Byte	0
0x00D8	Int32	0
0x00D8	Float	0.0
0x00D8	Byte	0
0x00E0	Int32	0
0x00E0	Float	0.0
0x00E0	Byte	0
0x00E8	Int32	0
0x00E8	Float	0.0
0x00E8	Byte	0
0x00F0	Int32	0
0x00F0	Float	0.0
0x00F0	Byte	0
0x00F8	Int32	0
0x00F8	Float	0.0
0x00F8	Byte	0
0x0100	Int32	0
0x0100	Float	0.0
0x0100	Byte	0
0x0108	Int32	0
0x0108	Float	0.0
0x0108	Byte	0
0x0110	Int32	0
0x0110	Float	0.0
0x0110	Byte	0
0x0118	Int32	0
0x0118	Float	0.0
0x0118	Byte	0
0x0120	Int32	0
0x0120	Float	0.0
0x0120	Byte	0
0x0128	Int32	0
0x0128	Float	0.0
0x0128	Byte	0
0x0130	Int32	0
0x0130	Float	0.0
0x0130	Byte	0
0x0138	Int32	0
0x0138	Float	0.0
0x0138	Byte	0
0x0140	Int32	0
0x0140	Float	0.0
0x0140	Byte	0
0x0148	Int32	0
0x0148	Float	0.0
0x0148	Byte	0
0x0150	Ptr	0x2FFFFFFFF
0x0150	Int32	-1
0x0150	Byte	255
0x0158	Ptr	0x2073D9C0
0x0158	Float	2.0654948049632867e-19
0x0158	Byte	192
0x0160	Int32	1079
0x0160	Float	1.5120010430064776e-42
0x0160	Byte	55
0x0168	Int32	65795
0x0168	Float	9.219843246025134e-41
0x0168	Byte	3
0x0170	Ptr	0x45DB991A
0x0170	Float	7027.1376953125
0x0170	Byte	26
0x0178	Ptr	0x1AE938E00
0x0178	Float	-6.710010325150506e-11
0x0178	Byte	0
0x0180	Int32	0
0x0180	Float	0.0
0x0180	Byte	0
0x0188	Float	100.0
0x0188	Byte	0
0x0190	Ptr	0x40400000
0x0190	Float	3.0
0x0190	Byte	0
0x0198	Ptr	0x45E45708
0x0198	Float	7306.87890625
0x0198	Byte	8
0x01A0	Ptr	0x16719AAB0
0x01A0	Byte	176
0x01A8	Int32	0
0x01A8	Float	0.0
0x01A8	Byte	0
0x01B0	Int32	0
0x01B0	Float	0.0
0x01B0	Byte	0
0x01B8	Ptr	0x68331630
0x01B8	Byte	48
0x01C0	Int32	0
0x01C0	Float	0.0
0x01C0	Byte	0
0x01C8	Int32	0
0x01C8	Float	0.0
0x01C8	Byte	0
0x01D0	Int32	0
0x01D0	Float	0.0
0x01D0	Byte	0
0x01D8	Int32	0
0x01D8	Float	0.0
0x01D8	Byte	0
0x01E0	Int32	0
0x01E0	Float	0.0
0x01E0	Byte	0
0x01E8	Int32	0
0x01E8	Float	0.0
0x01E8	Byte	0
0x01F0	Int32	0
0x01F0	Float	0.0
0x01F0	Byte	0
0x01F8	Int32	0
0x01F8	Float	0.0
0x01F8	Byte	0
0x0200	Int32	0
0x0200	Float	0.0
0x0200	Byte	0
0x0208	Int32	0
0x0208	Float	0.0
0x0208	Byte	0
0x0210	Int32	0
